class,category,indicator_name,series_name,sub_series_name,parameter,value,units,date_last_updated
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-09-03,16626,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-09-04,17809,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-09-05,14304,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-09-06,12727,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-09-07,12649,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-09-08,14294,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-09-09,16016,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-09-10,17334,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-09-11,19110,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-09-12,15820,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-09-13,14463,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-09-14,13994,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-09-15,16022,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-09-16,19143,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-09-17,17453,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-09-18,20468,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-09-19,17266,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-09-20,16742,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-09-21,15903,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-09-22,17161,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-09-23,18982,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-09-24,18543,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-09-25,18605,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-09-26,17278,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-09-27,16111,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-09-28,15722,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-09-29,18156,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-09-30,19286,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-10-01,19098,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-10-02,19817,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-10-03,18363,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-10-04,18331,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-10-05,17560,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-10-06,18008,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-10-07,18566,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-10-08,19790,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-10-09,19604,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-10-10,20298,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-10-11,17560,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-10-12,16400,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-10-13,17039,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-10-14,16996,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-10-15,18130,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-10-16,19452,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-10-17,18565,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-10-18,16651,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-10-19,16772,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-10-20,16763,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-10-21,19112,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-10-22,16750,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-10-23,18698,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-10-24,19676,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-10-25,18688,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-10-26,16892,Number,13-05-21
Economic,Travel,Daily border crossings - arrivals,Total,Total,2016-10-27,16920,Number,13-05-21
